4-L ENGINEERING COMPANY INC,Service Contracts,11/6/08,"1,568.00"
4-L ENGINEERING COMPANY INC,Service Contracts,11/6/08,"1,568.00"
4-L ENGINEERING COMPANY INC,Service Contracts,11/13/08,"3,344.00"
4-L ENGINEERING COMPANY INC,Repairs-Buildings,11/25/08,"9,643.22"
4-L ENGINEERING COMPANY INC,Repairs-Buildings,11/26/08,"16,821.82"
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,12/2/08,160
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,12/4/08,"5,305.39"
4-L ENGINEERING COMPANY INC,Service Contracts,12/9/08,831
4-L ENGINEERING COMPANY INC,Service Contracts,12/9/08,"2,234.00"
4-L ENGINEERING COMPANY INC,Service Contracts,12/12/08,710
4-L ENGINEERING COMPANY INC,Service Contracts,12/12/08,"1,568.00"
4-L ENGINEERING COMPANY INC,Service Contracts,12/12/08,"3,344.00"
4-L ENGINEERING COMPANY INC,Plumbing Supplies,12/23/08,240
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/6/09,"19,453.43"
4-L ENGINEERING COMPANY INC,Service Contracts,1/13/09,"2,234.00"
4-L ENGINEERING COMPANY INC,Service Contracts,1/13/09,831
4-L ENGINEERING COMPANY INC,Service Contracts,1/13/09,"3,344.00"
4-L ENGINEERING COMPANY INC,Service Contracts,1/13/09,710
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/22/09,"3,860.00"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/27/09,639.6
4-L ENGINEERING COMPANY INC,Service Contracts,2/5/09,"2,234.00"
4-L ENGINEERING COMPANY INC,Service Contracts,2/5/09,831
4-L ENGINEERING COMPANY INC,Service Contracts,2/10/09,710
4-L ENGINEERING COMPANY INC,Service Contracts,2/10/09,"3,344.00"
4-L ENGINEERING COMPANY INC,Service Contracts,2/12/09,"24,980.00"
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,2/24/09,503.17
4-L ENGINEERING COMPANY INC,Service Contracts,2/26/09,"-1,384.00"
4-L ENGINEERING COMPANY INC,Service Contracts,2/26/09,"1,568.00"
4-L ENGINEERING COMPANY INC,Service Contracts,2/26/09,"1,568.00"
4-L ENGINEERING COMPANY INC,Repairs-Buildings,3/3/09,"10,208.41"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/10/09,120
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/10/09,484
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/10/09,831
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/10/09,"2,234.00"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/10/09,876
4-L ENGINEERING COMPANY INC,Contract Labor,3/12/09,"1,951.25"
4-L ENGINEERING COMPANY INC,Service Contracts,3/17/09,710
4-L ENGINEERING COMPANY INC,Service Contracts,3/17/09,"3,344.00"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/26/09,200
4-L ENGINEERING COMPANY INC,Service Contracts,4/9/09,710
4-L ENGINEERING COMPANY INC,Service Contracts,4/9/09,831
4-L ENGINEERING COMPANY INC,Service Contracts,4/9/09,"2,234.00"
4SEASONS MARKETING ASSOCIATES,Clubs,10/14/08,303.38
7BEAR SOFTWARE,Non-Inv Software,8/27/09,81
7BEAR SOFTWARE,Non-Inv Software,8/27/09,49.5
@COURIER,Other Contracted Svces/Labor,9/4/08,19.68
@COURIER,Other Contracted Svces/Labor,10/14/08,19.68
@COURIER,Other Contracted Svces/Labor,11/20/08,12.43
@COURIER,Postage & Freight,1/6/09,27.8
@COURIER,Other Contracted Svces/Labor,3/10/09,47.35
@COURIER,Other Contracted Svces/Labor,6/2/09,45.33
@COURIER,Postage & Freight,7/2/09,14.04
